Job Folder,Image Count
Job_7,387
Job_8,464
Job_11,1
Job_12,74
Job_13,108
Job_15,20
Job_16,16
Job_17,20
Job_18,11
Job_21,41
Job_23,2484
Job_24,501
Job_25,2500
Job_27,4264
Job_28,966
Job_29,1103
Job_37,189
Job_42,1536
Job_48,1550
Job_50,181
Job_54,355
Job_55,261
Job_57,37
Job_59,23
Job_60,81
Job_61,49
Job_65,548
Job_67,61
Job_69,271
Job_70,500
Job_72,1542
Job_73,601
Job_76,540
Job_87,129
Job_88,558
Job_89,451
Job_95,348
Job_96,300
Job_97,293
Job_104,512
Job_106,270
Job_108,50
Job_114,223
Job_115,210
Job_117,63
Job_118,210
Job_119,344
Job_121,259
Job_123,252
Job_125,128
Job_126,223
Job_128,135
Job_130,252
Job_131,241
Job_152,63
