Job,Exported from CVAT,After filtering using SSIM,Retained %,SSIM Percentage
Job_7,725,387,53.38,
Job_8,802,464,57.86,
Job_11,700,1,0.14,
Job_12,900,74,8.22,
Job_13,401,108,26.93,
Job_15,400,20,5.0,
Job_16,400,16,4.0,
Job_17,400,20,5.0,
Job_18,400,11,2.75,
Job_21,41,41,100.0,
Job_23,2485,2484,99.96,
Job_24,501,501,100.0,
Job_25,2500,2500,100.0,
Job_27,4264,4264,100.0,
Job_28,982,966,98.37,
Job_29,1301,1103,84.78,
Job_37,1001,189,18.88,
Job_42,1536,1536,100.0,
Job_48,1584,1550,97.85,
Job_50,181,181,100.0,
Job_54,601,355,59.07,
Job_55,528,261,49.43,
Job_57,528,37,7.01,
Job_59,201,23,11.44,
Job_60,1620,81,5.0,
Job_61,551,49,8.89,
Job_65,588,548,93.2,
Job_67,97,61,62.89,
Job_69,297,271,91.25,
Job_70,501,500,99.8,
Job_72,2622,1542,58.81,
Job_73,601,601,100.0,
Job_76,540,540,100.0,
Job_87,1128,129,11.44,
Job_88,708,558,78.81,
Job_89,744,451,60.62,
Job_95,348,348,100.0,
Job_96,300,300,100.0,
Job_97,293,293,100.0,
Job_104,768,512,66.67,
Job_106,360,270,75.0,
Job_108,51,50,98.04,
Job_114,288,223,77.43,
Job_115,312,210,67.31,
Job_117,444,63,14.19,
Job_118,312,210,67.31,
Job_119,444,344,77.48,
Job_121,348,259,74.43,
Job_123,300,252,84.0,
Job_125,384,128,33.33,
Job_126,351,223,63.53,
Job_128,532,135,25.38,
Job_130,552,252,45.65,
Job_131,540,241,44.63,
Job_152,68,63,92.65,
Total,40354,26799,,
