Job Folder,Image Count
Job_7,725
Job_8,802
Job_11,700
Job_12,900
Job_13,401
Job_15,400
Job_16,400
Job_17,400
Job_18,400
Job_21,41
Job_23,2485
Job_24,501
Job_25,2500
Job_27,4264
Job_28,982
Job_29,1301
Job_37,1001
Job_42,1536
Job_48,1584
Job_50,181
Job_52,132
Job_54,601
Job_55,528
Job_56,276
Job_57,528
Job_59,201
Job_60,1620
Job_61,551
Job_65,588
Job_66,0
Job_67,97
Job_69,297
Job_70,501
Job_72,2622
Job_73,601
Job_76,540
Job_87,1128
Job_88,708
Job_89,744
Job_95,348
Job_96,300
Job_97,293
Job_104,768
Job_105,804
Job_106,360
Job_108,51
Job_114,288
Job_115,312
Job_116,301
Job_117,444
Job_118,312
Job_119,444
Job_121,348
Job_123,300
Job_125,384
Job_126,351
Job_128,532
Job_130,552
Job_131,540
Job_142,528
Job_143,132
Job_145,21
Job_146,12
Job_151,10
Job_152,68
