Job Name,Image Count,Cumulative Total
Job_160,12,12
Job_29,240,252
Job_30,250,502
Job_31,250,752
Job_32,400,1152
Job_41,280,1432
Job_51,1595,3027
Job_56,69,3096
Job_60,1620,4716
Job_65,147,4863
Job_72,146,5009
Job_73,88,5097
Job_88,142,5239
Job_89,149,5388
Job_95,70,5458
Job_98,36,5494
Job_106,120,5614
Job_108,10,5624
Job_109,132,5756
Job_114,96,5852
Job_115,63,5915
Job_123,300,6215
Job_125,96,6311
Job_126,32,6343
Job_128,107,6450
Job_130,111,6561
Job_131,22,6583
Job_142,22,6605
Job_143,27,6632
Job_145,21,6653
Job_146,12,6665
Job_147,22,6687
Job_151,6,6693
Job_155,61,6754
Job_156,56,6810
Job_157,169,6979
Job_158,20,6999
Job_159,17,7016
Job_11,350,7366
Job_22,569,7935
Job_21,301,8236
Job_25_filter,1005,9241
Job_7,363,9604
Job_116,59,9663
Job_14,15,9678
Job_12,458,10136
Job_15,32,10168
Job_13,97,10265
Job_16,15,10280
Job_17,24,10304
Job_18,14,10318
Job_23,264,10582
Job_24_filter,179,10761
Job_24_ssim,349,11110
job_25_ssim,563,11673
Job_42,107,11780
Job_37,99,11879
Job_28,2089,13968
Job_27,514,14482
Job_27_filter,374,14856
Job_50,49,14905
Job_48,102,15007
Job_52,25,15032
Job_55,36,15068
Job_57,118,15186
Job_59,80,15266
Job_54,185,15451
Job_61,228,15679
Job_66,24,15703
Job_67,21,15724
Job_69,42,15766
Job_70,87,15853
Job_76,79,15932
Job_121,94,16026
Job_119,57,16083
Job_117,162,16245
Job_118,61,16306
Job_105,192,16498
Job_104,217,16715
Job_96,90,16805
Job_87,458,17263
