Job Name,Image Count,Cumulative Total Images,Folder Size (MB),Cumulative Total Size (MB)
Job_25_filter,1005,1005,937.08,937.08
Job_24_filter,179,1184,155.91,1092.99
Job_24_ssim,349,1533,297.83,1390.82
job_25_ssim,563,2096,528.78,1919.60
Job_27_filter,374,2470,349.33,2268.93
Job_7,363,2833,316.26,2585.19
Job_11,350,3183,152.45,2737.65
Job_12,458,3641,230.43,2968.07
Job_13,97,3738,32.92,3001.00
Job_14,15,3753,5.15,3006.15
Job_15,32,3785,11.11,3017.26
Job_16,15,3800,5.18,3022.44
Job_17,24,3824,7.11,3029.55
Job_18,14,3838,4.45,3034.00
Job_21,301,4139,267.46,3301.46
Job_22,569,4708,491.63,3793.09
Job_23,264,4972,227.38,4020.47
Job_27,514,5486,480.07,4500.54
Job_28,2089,7575,1629.85,6130.39
Job_29,240,7815,205.98,6336.36
Job_30,250,8065,247.16,6583.53
Job_31,250,8315,202.91,6786.43
Job_32,400,8715,400.97,7187.41
Job_37,99,8814,93.91,7281.32
Job_41,280,9094,178.74,7460.06
Job_42,107,9201,70.74,7530.80
Job_48,102,9303,90.43,7621.22
Job_50,49,9352,43.99,7665.21
Job_51,1595,10947,1341.31,9006.52
Job_52,25,10972,23.06,9029.59
Job_54,185,11157,224.71,9254.29
Job_55,36,11193,41.03,9295.32
Job_56,69,11262,86.88,9382.20
Job_57,118,11380,165.50,9547.70
Job_59,80,11460,107.41,9655.11
Job_60,1620,13080,1377.37,11032.48
Job_61,228,13308,181.79,11214.27
Job_65,147,13455,245.07,11459.34
Job_66,24,13479,38.58,11497.92
Job_67,21,13500,30.05,11527.97
Job_69,42,13542,80.36,11608.33
Job_70,87,13629,116.56,11724.90
Job_72,146,13775,220.46,11945.35
Job_73,88,13863,70.49,12015.84
Job_76,79,13942,59.84,12075.68
Job_87,458,14400,457.72,12533.40
Job_88,142,14542,108.30,12641.70
Job_89,149,14691,108.51,12750.20
Job_95,70,14761,33.96,12784.16
Job_96,90,14851,51.99,12836.15
Job_98,36,14887,28.66,12864.81
Job_104,217,15104,195.56,13060.37
Job_105,192,15296,136.22,13196.59
Job_106,120,15416,112.54,13309.13
Job_108,10,15426,14.30,13323.43
Job_109,132,15558,199.34,13522.77
Job_114,96,15654,106.08,13628.85
Job_115,63,15717,55.17,13684.02
Job_116,59,15776,61.01,13745.03
Job_117,162,15938,102.42,13847.45
Job_118,61,15999,47.09,13894.54
Job_119,57,16056,47.79,13942.33
Job_121,94,16150,107.87,14050.20
Job_123,300,16450,539.62,14589.82
Job_125,96,16546,101.48,14691.30
Job_126,32,16578,36.55,14727.85
Job_128,107,16685,73.46,14801.31
Job_130,111,16796,91.66,14892.97
Job_131,22,16818,17.62,14910.58
Job_142,22,16840,8.29,14918.87
Job_143,27,16867,40.36,14959.23
Job_145,21,16888,51.95,15011.18
Job_146,12,16900,26.11,15037.28
Job_147,22,16922,18.98,15056.26
Job_151,6,16928,2.48,15058.74
Job_155,61,16989,84.58,15143.32
Job_156,56,17045,80.46,15223.78
Job_157,169,17214,282.75,15506.53
Job_158,20,17234,24.99,15531.52
Job_159,17,17251,37.27,15568.79
Job_160,12,17263,19.57,15588.36
