Job Name,Image Count,Annotation Count,All Image/Annotation Pairs Present,red_flag,red_yellow_flag,blue_flag,green_coast,flagpole,parasol,surf_zone,non_beach_flag,other_beach_flag,surf_kite,wind_sock
Job_7,363,363,True,363,0,0,0,363,0,0,0,0,0,0
Job_11,350,350,True,0,350,0,0,350,0,0,0,0,0,0
Job_12,458,458,True,0,458,0,0,0,0,0,0,0,0,0
Job_13,97,97,True,97,0,0,0,0,0,0,0,0,0,0
Job_14,15,15,True,15,0,0,0,0,0,0,0,0,0,0
Job_15,32,32,True,32,0,0,0,0,0,0,0,0,0,0
Job_16,15,15,True,15,0,0,0,0,0,0,0,0,0,0
Job_17,24,24,True,0,24,0,0,0,0,0,0,0,0,0
Job_18,14,14,True,0,14,0,0,0,0,0,0,0,0,0
Job_21,301,301,True,301,0,301,0,301,0,0,0,0,0,0
Job_22,601,601,True,601,0,601,0,601,0,0,0,0,0,0
Job_23,220,220,True,220,0,220,0,220,0,0,0,0,0,0
Job_23_filter,255,255,True,255,0,255,0,255,0,0,0,0,0,0
Job_ssim_24_OLD,349,349,True,349,0,0,0,0,0,0,0,0,0,0
Job_24_filter,177,177,True,177,0,177,0,177,0,0,0,0,0,0
Job_24,131,131,True,131,0,131,0,131,0,0,0,0,0,0
job_ssim_25_OLD,563,563,True,563,0,0,0,0,0,0,0,0,0,0
Job_25,150,150,True,150,0,150,0,150,0,0,0,0,0,0
Job_filter_25_OLD,1005,1005,True,1005,0,1005,0,1005,0,0,0,0,0,0
Job_27,63,63,True,63,0,63,0,63,0,0,0,0,0,0
Job_28,203,203,True,203,0,203,0,203,0,0,0,0,0,0
Job_29,240,240,True,240,0,240,0,234,0,0,0,0,0,0
Job_30,1951,6655,True,0,6655,6661,0,6655,0,0,0,0,0,0
Job_31,221,221,True,0,221,221,0,221,0,0,0,0,0,0
Job_32,250,250,True,0,250,250,0,250,0,0,0,0,0,0
Job_36,191,191,True,0,191,191,0,191,0,0,0,0,0,0
Job_37,99,99,True,0,99,0,0,0,0,0,0,0,0,0
Job_41,280,280,True,0,280,280,0,280,0,0,0,0,0,0
Job_42,107,107,True,0,107,0,0,0,0,0,0,0,0,0
Job_43,151,162,False,0,162,162,0,162,0,0,0,0,0,0
Job_48,136,137,True,137,0,137,0,137,0,0,0,0,0,0
Job_50,49,49,True,49,0,49,0,49,0,0,0,0,0,0
Job_51,160,160,True,0,0,0,160,160,0,0,0,0,0,0
Job_52,25,25,True,0,0,0,25,0,0,0,0,0,0,0
Job_54,185,185,True,0,185,0,0,0,0,0,0,0,0,0
Job_55,36,36,True,0,36,0,0,0,0,0,0,0,0,0
Job_56,69,69,True,0,69,0,0,69,0,0,0,0,0,0
Job_57,118,118,True,0,118,0,0,0,0,0,0,0,0,0
Job_59,80,80,True,0,80,0,0,0,0,0,0,0,0,0
Job_60,162,162,True,162,0,0,0,162,0,0,0,0,0,0
Job_61,228,228,True,228,0,0,0,0,0,0,0,0,0,0
Job_65,147,147,True,147,0,147,0,294,0,0,0,0,0,0
Job_66,24,24,True,24,0,0,0,0,0,0,0,0,0,0
Job_67,21,21,True,0,0,21,0,0,0,0,0,0,0,0
Job_69,42,42,True,0,0,42,0,0,0,0,0,0,0,0
Job_70,87,87,True,0,87,0,0,0,0,0,0,0,0,0
Job_71,1656,1656,True,0,1656,0,0,3312,0,1656,0,0,0,0
Job_72,146,146,True,0,292,0,0,266,0,0,0,0,0,0
Job_73,88,88,True,0,88,88,0,88,0,0,0,0,0,0
Job_74,58,58,True,0,58,58,0,58,0,0,0,0,0,0
Job_75,58,58,True,0,58,58,0,58,0,0,0,0,0,0
Job_76,79,540,True,0,540,540,0,540,0,0,0,0,0,0
Job_77,80,80,True,0,80,80,0,80,0,0,0,0,0,0
Job_78,159,159,True,0,159,159,0,159,0,0,0,0,0,0
Job_87,210,210,True,0,0,210,0,0,0,0,0,0,0,0
Job_88_Rename_Files,142,142,False,142,0,142,0,142,0,0,0,0,0,0
Job_89,149,149,True,149,0,149,0,149,0,0,0,0,0,0
Job_95,70,70,True,70,0,70,0,70,0,0,0,0,0,0
Job_96,90,90,True,90,0,0,0,0,0,0,0,0,0,0
Job_98,36,36,True,36,0,32,0,36,0,0,0,0,0,0
Job_104,217,217,False,0,0,217,0,0,0,0,0,0,0,0
Job_105,161,161,True,0,0,161,0,322,0,0,0,0,0,0
Job_106,120,120,True,0,0,120,0,120,0,0,0,0,0,0
Job_108,10,10,True,0,0,10,0,10,0,0,0,0,0,0
Job_109,27,27,True,0,0,27,0,27,0,0,0,0,0,0
Job_114,96,96,True,0,0,96,0,96,0,0,0,0,0,0
Job_115,63,63,True,0,0,63,0,63,0,0,0,0,0,0
Job_116,59,59,True,0,59,59,0,59,0,0,0,0,0,0
Job_117,98,98,True,0,98,98,0,98,0,0,0,0,0,0
Job_118,104,104,True,0,104,104,0,104,0,0,0,0,0,0
Job_119,89,89,True,0,89,89,0,89,0,0,0,0,0,0
Job_120,58,58,True,0,58,58,0,58,0,0,0,0,0,0
Job_121,94,94,True,0,94,94,0,94,0,0,0,0,0,0
