Job Name,Image Count,Annotation Count,Total Image Size (MB),All Image/Annotation Pairs Present,red_flag,red_yellow_flag,blue_flag,green_coast,flagpole,parasol,surf_zone,non_beach_flag,other_beach_flag,surf_kite,wind_sock
Job_7,363,363,316.26,True,363,0,0,0,363,0,0,0,0,0,0
Job_11,350,350,152.45,True,0,350,0,0,350,0,0,0,0,0,0
Job_12,458,458,230.43,True,0,458,0,0,0,0,0,0,0,0,0
Job_13,97,97,32.92,True,97,0,0,0,0,0,0,0,0,0,0
Job_14,15,15,5.15,True,15,0,0,0,0,0,0,0,0,0,0
Job_15,32,32,11.11,True,32,0,0,0,0,0,0,0,0,0,0
Job_16,15,15,5.18,True,15,0,0,0,0,0,0,0,0,0,0
Job_17,24,24,7.11,True,0,24,0,0,0,0,0,0,0,0,0
Job_18,14,14,4.45,True,0,14,0,0,0,0,0,0,0,0,0
Job_21,301,301,267.46,True,301,0,301,0,301,0,0,0,0,0,0
Job_22,601,601,519.47,True,601,0,601,0,601,0,0,0,0,0,0
Job_23,220,220,186.11,True,220,0,220,0,220,0,0,0,0,0,0
Job_23_filter,255,255,221.53,True,255,0,255,0,255,0,0,0,0,0,0
Job_24_filter,177,177,154.42,True,177,0,177,0,177,0,0,0,0,0,0
Job_24,131,131,114.24,True,131,0,131,0,131,0,0,0,0,0,0
Job_25,150,150,136.61,True,150,0,150,0,150,0,0,0,0,0,0
Job_27,63,63,65.72,True,63,0,63,0,63,0,0,0,0,0,0
Job_28,203,203,159.22,True,203,0,203,0,203,0,0,0,0,0,0
Job_29,240,240,205.98,True,240,0,240,0,234,0,0,0,0,0,0
Job_30,148,148,145.17,True,0,148,148,0,148,0,0,0,0,0,0
Job_31,221,221,182.06,True,0,221,221,0,221,0,0,0,0,0,0
Job_32,250,250,236.82,True,0,250,250,0,250,0,0,0,0,0,0
Job_36,191,191,208.25,True,0,191,191,0,191,0,0,0,0,0,0
Job_37,99,99,93.91,True,0,99,99,0,99,0,0,0,0,0,0
Job_41,280,280,178.74,True,0,280,280,0,280,0,0,0,0,0,0
Job_42,107,107,70.74,True,0,107,107,0,107,0,0,0,0,0,0
Job_43,151,162,141.09,False,0,162,162,0,162,0,0,0,0,0,0
Job_48,136,137,118.75,True,137,0,137,0,137,0,0,0,0,0,0
Job_50,49,49,43.99,True,49,0,49,0,49,0,0,0,0,0,0
Job_51,1595,1596,1341.31,True,0,200,0,1595,1595,0,0,0,0,0,0
Job_51_Processed,178,178,165.82,True,0,0,0,178,178,0,0,0,0,0,0
Job_52_Processed,190,190,186.67,True,0,0,0,190,190,0,0,0,0,0,0
Job_54,185,185,224.71,True,0,185,0,0,0,0,0,0,0,0,0
Job_55,36,36,41.03,True,0,36,0,0,0,0,0,0,0,0,0
Job_56,69,69,86.88,True,0,69,0,0,69,0,0,0,0,0,0
Job_57,118,118,165.5,True,0,118,0,0,0,0,0,0,0,0,0
Job_59,80,80,107.41,True,0,80,0,0,0,0,0,0,0,0,0
Job_60,162,162,136.75,True,162,0,0,0,162,0,0,0,0,0,0
Job_61,228,228,181.79,True,228,0,0,0,0,0,0,0,0,0,0
Job_65,147,147,245.07,True,147,0,147,0,294,0,0,0,0,0,0
Job_66,24,24,38.58,True,24,0,0,0,0,0,0,0,0,0,0
Job_67,21,21,30.05,True,0,0,21,0,0,0,0,0,0,0,0
Job_69,42,42,80.36,True,0,0,42,0,0,0,0,0,0,0,0
Job_70,87,87,116.56,True,0,87,0,0,0,0,0,0,0,0,0
Job_71,1656,1656,2431.33,True,0,1656,0,0,3312,0,1656,0,0,0,0
Job_72,146,146,220.46,True,0,292,0,0,266,0,0,0,0,0,0
Job_73,88,88,70.49,True,0,88,88,0,88,0,0,0,0,0,0
Job_74,58,58,54.49,True,0,58,58,0,58,0,0,0,0,0,0
Job_75,58,58,56.52,True,0,58,58,0,58,0,0,0,0,0,0
Job_76,79,540,59.84,True,0,540,540,0,540,0,0,0,0,0,0
Job_77,80,80,60.37,True,0,80,80,0,80,0,0,0,0,0,0
Job_78,159,159,125.66,True,0,159,159,0,159,0,0,0,0,0,0
Job_87,210,210,210.31,True,0,0,210,0,0,0,0,0,0,0,0
Job_88,142,142,108.01,True,142,0,142,0,142,0,0,0,0,0,0
Job_89,149,149,108.51,True,149,0,149,0,149,0,0,0,0,0,0
Job_95,70,70,33.96,True,70,0,70,0,70,0,0,0,0,0,0
Job_96,90,90,51.99,True,90,0,0,0,0,0,0,0,0,0,0
Job_98,36,36,28.66,True,36,0,32,0,36,0,0,0,0,0,0
Job_104,217,217,195.56,False,0,0,217,0,0,0,0,0,0,0,0
Job_105,161,161,113.91,True,0,0,161,0,322,0,0,0,0,0,0
Job_106,120,120,112.54,True,0,0,120,0,120,0,0,0,0,0,0
Job_108,10,10,14.3,True,0,0,10,0,10,0,0,0,0,0,0
Job_109,27,27,40.67,True,0,0,27,0,27,0,0,0,0,0,0
Job_114,96,96,106.08,True,0,0,96,0,96,0,0,0,0,0,0
Job_115,63,63,55.17,True,0,0,63,0,63,0,0,0,0,0,0
Job_116,59,59,61.01,True,0,59,59,0,59,0,0,0,0,0,0
Job_117,98,98,62.71,True,0,98,98,0,98,0,0,0,0,0,0
Job_118,104,104,80.46,True,0,104,104,0,104,0,0,0,0,0,0
Job_119,89,89,74.71,True,0,89,89,0,89,0,0,0,0,0,0
Job_120,58,58,82.36,True,0,58,58,0,58,0,0,0,0,0,0
Job_121,94,94,107.87,True,0,94,94,0,94,0,0,0,0,0,0
Job_123,60,60,108.2,True,0,60,60,0,60,0,0,0,0,0,0
Job_125,96,96,101.48,True,0,96,96,0,96,0,0,0,0,0,0
Job_126,32,32,36.55,True,0,32,32,0,32,0,0,0,0,0,0
Job_128,107,107,73.46,True,0,107,107,0,107,0,0,0,0,0,0
Job_130,111,111,91.66,True,0,111,111,0,111,0,0,0,0,0,0
Job_131,22,22,17.62,True,0,22,22,0,44,0,0,0,0,0,0
Job_142,22,22,8.29,True,0,22,22,0,0,0,0,0,0,0,0
Job_143,27,27,40.36,True,0,27,27,0,27,0,0,0,0,0,0
Job_145,21,21,51.95,True,1,10,21,0,21,0,0,0,0,0,0
Job_146,12,12,26.11,True,12,0,11,0,10,0,0,0,0,0,0
