Job Name,Image Count,Annotation Count,Total Image Size (MB),All Image/Annotation Pairs Present,red_flag,red_yellow_flag,blue_flag,green_coast,flagpole,parasol,surf_zone,non_beach_flag,other_beach_flag,surf_kite,wind_sock
Job_7,179,179,30.87,True,179,0,0,0,179,0,0,0,0,0,0
Job_7_Aug_ILLUM,179,179,30.96,True,179,0,0,0,179,0,0,0,0,0,0
Job_7_Aug,179,179,26.91,True,179,0,0,0,179,0,0,0,0,0,0
Job_11,149,149,15.94,True,0,149,0,0,149,0,0,0,0,0,0
Job_11_Aug,149,149,15.04,True,0,149,0,0,149,0,0,0,0,0,0
Job_12,77,77,9.27,True,0,77,0,0,0,0,0,0,0,0,0
Job_12_Aug,76,76,8.37,True,0,76,0,0,0,0,0,0,0,0,0
Job_13,49,49,4.9,True,49,0,0,0,0,0,0,0,0,0,0
Job_13_Aug,48,48,17.56,True,48,0,0,0,0,0,0,0,0,0,0
Job_14,8,8,0.78,True,8,0,0,0,0,0,0,0,0,0,0
Job_14_Aug,7,7,0.72,True,7,0,0,0,0,0,0,0,0,0,0
Job_15,16,16,1.58,True,16,0,0,0,0,0,0,0,0,0,0
Job_15_Aug,16,16,5.95,True,16,0,0,0,0,0,0,0,0,0,0
Job_16,8,8,0.79,True,8,0,0,0,0,0,0,0,0,0,0
Job_16_Aug,7,7,0.73,True,7,0,0,0,0,0,0,0,0,0,0
Job_17,12,12,1.11,True,0,12,0,0,0,0,0,0,0,0,0
Job_17_Aug,12,12,3.75,True,0,12,0,0,0,0,0,0,0,0,0
Job_18,7,7,0.66,True,0,7,0,0,0,0,0,0,0,0,0
Job_18_Aug,14,14,4.66,True,0,14,0,0,0,0,0,0,0,0,0
Job_21,101,101,18.15,True,101,0,101,0,101,0,0,0,0,0,0
Job_21_Aug,100,100,19.53,True,100,0,100,0,100,0,0,0,0,0,0
Job_22,101,101,17.59,True,101,0,101,0,101,0,0,0,0,0,0
Job_22_Aug,100,100,19.92,True,100,0,100,0,100,0,0,0,0,0,0
Job_23_flt_Job_23_flt_Aug_Mrg,85,85,17.08,True,85,0,85,0,85,0,0,0,0,0,0
Job_23_Aug,73,73,14.04,True,73,0,73,0,73,0,0,0,0,0,0
Job_23,159,159,27.8,True,159,0,159,0,159,0,0,0,0,0,0
Job_24,66,66,11.46,True,66,0,66,0,66,0,0,0,0,0,0
Job_24_filter,89,89,15.7,True,89,0,89,0,89,0,0,0,0,0,0
Job_24_Aug,65,65,12.68,True,65,0,65,0,65,0,0,0,0,0,0
Job_24_filter_Aug,88,88,17.92,True,88,0,88,0,88,0,0,0,0,0,0
Job_25,75,75,15.71,True,75,0,75,0,75,0,0,0,0,0,0
Job_25_Aug,75,75,72.99,True,75,0,75,0,75,0,0,0,0,0,0
Job_27,32,32,7.23,True,32,0,32,0,32,0,0,0,0,0,0
Job_27_Aug,31,31,7.05,True,31,0,31,0,31,0,0,0,0,0,0
Job_28,68,68,10.48,True,68,0,68,0,68,0,0,0,0,0,0
Job_29,80,80,13.06,True,80,0,80,0,78,0,0,0,0,0,0
Job_29_Aug,80,80,13.48,True,80,0,80,0,78,0,0,0,0,0,0
Job_30,49,49,10.58,True,0,49,49,0,49,0,0,0,0,0,0
Job_30_Aug,49,49,10.86,True,0,49,49,0,49,0,0,0,0,0,0
Job_31,74,74,13.21,True,0,74,74,0,74,0,0,0,0,0,0
Job_31_Aug,128,128,23.4,True,0,128,128,0,128,0,0,0,0,0,0
Job_32,84,84,17.59,True,0,84,84,0,84,0,0,0,0,0,0
Job_32_Aug,83,83,18.3,True,0,83,83,0,83,0,0,0,0,0,0
Job_36,64,64,15.97,True,0,64,64,0,64,0,0,0,0,0,0
Job_36_Aug,64,64,12.51,True,0,64,64,0,64,0,0,0,0,0,0
Job_37,50,50,8.97,True,0,50,50,0,50,0,0,0,0,0,0
Job_37_Aug_ILLUM,50,50,10.49,True,0,50,50,0,50,0,0,0,0,0,0
Job_37_ILLUM,50,50,11.08,True,0,50,50,0,50,0,0,0,0,0,0
Job_37_Aug,50,50,8.66,True,0,50,50,0,50,0,0,0,0,0,0
Job_41,70,70,11.6,True,0,70,70,0,70,0,0,0,0,0,0
Job_41_Aug,70,70,12.74,True,0,70,70,0,70,0,0,0,0,0,0
Job_42_Aug,53,53,8.3,True,0,53,53,0,53,0,0,0,0,0,0
Job_42,54,54,8.64,True,0,54,54,0,54,0,0,0,0,0,0
Job_43,37,37,7.6,True,0,37,37,0,37,0,0,0,0,0,0
Job_43_Aug,37,37,7.62,True,0,37,37,0,37,0,0,0,0,0,0
Job_43_RY_Swapped_to_88,70,70,12.8,True,0,70,70,0,70,0,0,0,0,0,0
Job_48,34,34,6.51,True,34,0,34,0,34,0,0,0,0,0,0
Job_48_Aug,34,34,5.88,True,34,0,34,0,34,0,0,0,0,0,0
Job_50,25,25,5.02,True,25,0,25,0,25,0,0,0,0,0,0
Job_50_Aug,24,24,5.03,True,24,0,24,0,24,0,0,0,0,0,0
Job_51_Aug,87,87,18.11,True,0,0,0,87,87,0,0,0,0,0,0
Job_52_Aug,95,95,20.55,True,0,0,0,95,95,0,0,0,0,0,0
Job_54_Aug_ILLUM,41,41,8.9,True,0,41,0,0,0,0,0,0,0,0,0
Job_54_ILLUM,42,42,17.79,True,0,42,0,0,0,0,0,0,0,0,0
Job_54_Aug,6,6,0.87,True,0,6,0,0,0,0,0,0,0,0,0
Job_54,6,6,1.58,True,0,6,0,0,0,0,0,0,0,0,0
Job_55,18,18,4.52,True,0,18,0,0,0,0,0,0,0,0,0
Job_55_Aug,18,18,2.77,True,0,18,0,0,0,0,0,0,0,0,0
Job_55_Aug_ILLUM,18,18,4.42,True,0,18,0,0,0,0,0,0,0,0,0
Job_55_ILLUM,18,18,7.6,True,0,18,0,0,0,0,0,0,0,0,0
Job_56,35,34,9.7,False,0,34,0,0,34,0,0,0,0,0,0
Job_56_Aug,34,34,7.21,True,0,34,0,0,34,0,0,0,0,0,0
Job_56_Aug_ILLUM,34,34,10.04,True,0,34,0,0,34,0,0,0,0,0,0
Job_56_ILLUM,35,35,14.28,True,0,35,0,0,35,0,0,0,0,0,0
Job_57,59,59,17.12,True,0,59,0,0,0,0,0,0,0,0,0
Job_57_Aug,59,59,10.51,True,0,59,0,0,0,0,0,0,0,0,0
Job_57_Aug_ILLUM,59,59,15.17,True,0,59,0,0,0,0,0,0,0,0,0
Job_57_ILLUM,59,59,27.22,True,0,59,0,0,0,0,0,0,0,0,0
Job_59,40,40,11.17,True,0,40,0,0,0,0,0,0,0,0,0
Job_59_Aug,40,40,6.79,True,0,40,0,0,0,0,0,0,0,0,0
Job_60,54,54,9.18,True,54,0,0,0,54,0,0,0,0,0,0
Job_60_Aug,54,54,8.16,True,54,0,0,0,54,0,0,0,0,0,0
Job_60_Aug_ILLUM,54,54,11.78,True,54,0,0,0,54,0,0,0,0,0,0
Job_60_ILLUM,54,54,14.32,True,54,0,0,0,54,0,0,0,0,0,0
Job_61,76,76,12.29,True,76,0,0,0,0,0,0,0,0,0,0
Job_61_Aug,76,76,11.4,True,76,0,0,0,0,0,0,0,0,0,0
Job_61_Aug_ILLUM,76,76,15.61,True,76,0,0,0,0,0,0,0,0,0,0
Job_61_ILLUM,76,76,18.86,True,76,0,0,0,0,0,0,0,0,0,0
Job_65,147,147,45.99,True,147,0,147,0,294,0,0,0,0,0,0
Job_65_ILLUM,147,147,67.05,True,147,0,147,0,294,0,0,0,0,0,0
Job_66,24,24,8.45,True,24,0,0,0,0,0,0,0,0,0,0
Job_67,21,21,6.64,True,0,0,21,0,0,0,0,0,0,0,0
Job_69,39,39,16.25,True,0,0,39,0,0,0,0,0,0,0,0
Job_70,44,44,15.04,True,0,44,0,0,0,0,0,0,0,0,0
Job_70_Aug,43,43,7.35,True,0,43,0,0,0,0,0,0,0,0,0
Job_71,83,83,29.42,True,0,83,0,0,166,0,83,0,0,0,0
Job_72,73,73,26.75,True,0,146,0,0,133,0,0,0,0,0,0
Job_73,44,44,8.27,True,0,44,44,0,44,0,0,0,0,0,0
Job_73_Aug,88,88,68.09,True,0,88,88,0,88,0,0,0,0,0,0
Job_74,29,29,6.01,True,0,29,29,0,29,0,0,0,0,0,0
Job_74_Aug,29,29,4.97,True,0,29,29,0,29,0,0,0,0,0,0
Job_75,29,29,6.66,True,0,29,29,0,29,0,0,0,0,0,0
Job_75_Aug,29,29,4.73,True,0,29,29,0,29,0,0,0,0,0,0
Job_76,40,40,7.43,True,0,40,40,0,40,0,0,0,0,0,0
Job_76_Aug,39,39,6.55,True,0,39,39,0,39,0,0,0,0,0,0
Job_77,40,40,7.11,True,0,40,40,0,40,0,0,0,0,0,0
Job_77_Aug,40,40,7.43,True,0,40,40,0,40,0,0,0,0,0,0
Job_78,40,40,7.22,True,0,40,40,0,40,0,0,0,0,0,0
Job_78_Aug,40,40,6.91,True,0,40,40,0,40,0,0,0,0,0,0
Job_87,53,53,12.13,True,0,0,53,0,0,0,0,0,0,0,0
Job_87_Aug,52,52,7.32,True,0,0,52,0,0,0,0,0,0,0,0
Job_88,36,36,6.52,True,36,0,36,0,36,0,0,0,0,0,0
Job_88_Aug,35,35,7.02,True,35,0,35,0,35,0,0,0,0,0,0
Job_89,38,38,6.56,True,38,0,38,0,38,0,0,0,0,0,0
Job_89_Aug,37,37,7.2,True,37,0,37,0,37,0,0,0,0,0,0
Job_95,35,35,4.55,True,35,0,35,0,35,0,0,0,0,0,0
Job_95_Aug,35,35,5.59,True,35,0,35,0,35,0,0,0,0,0,0
Job_96,90,90,13.06,True,90,0,0,0,0,0,0,0,0,0,0
Job_98,36,36,7.15,True,36,0,32,0,36,0,0,0,0,0,0
Job_104,108,108,25.34,True,0,0,108,0,0,0,0,0,0,0,0
Job_104_Aug,108,108,13.95,True,0,0,108,0,0,0,0,0,0,0,0
Job_105,41,41,7.39,True,0,0,41,0,82,0,0,0,0,0,0
Job_105_Aug,40,40,5.64,True,0,0,40,0,80,0,0,0,0,0,0
Job_106,30,30,7.04,True,0,0,30,0,30,0,0,0,0,0,0
Job_106_Aug,30,30,4.29,True,0,0,30,0,30,0,0,0,0,0,0
Job_108,5,5,1.77,True,0,0,5,0,5,0,0,0,0,0,0
Job_108_Aug,5,5,0.67,True,0,0,5,0,5,0,0,0,0,0,0
Job_109,27,27,10.36,True,0,0,27,0,27,0,0,0,0,0,0
Job_114,96,96,26.25,True,0,0,96,0,96,0,0,0,0,0,0
Job_114_Aug,96,96,14.7,True,0,0,96,0,96,0,0,0,0,0,0
Job_115,51,51,11.33,True,0,0,51,0,51,0,0,0,0,0,0
Job_115_Aug,51,51,9.12,True,0,0,51,0,51,0,0,0,0,0,0
Job_116,30,30,7.9,True,0,30,30,0,30,0,0,0,0,0,0
Job_116_Aug,29,29,4.54,True,0,29,29,0,29,0,0,0,0,0,0
Job_117,49,49,8.25,True,0,49,49,0,49,0,0,0,0,0,0
Job_117_Aug,49,49,6.72,True,0,49,49,0,49,0,0,0,0,0,0
Job_118,26,26,5.17,True,0,26,26,0,26,0,0,0,0,0,0
Job_118_Aug,26,26,2.94,True,0,26,26,0,26,0,0,0,0,0,0
Job_119,45,45,8.64,True,0,45,45,0,45,0,0,0,0,0,0
Job_119_Aug,44,44,8.87,True,0,44,44,0,44,0,0,0,0,0,0
Job_120,58,58,20.09,True,0,58,58,0,58,0,0,0,0,0,0
Job_121,24,24,6.86,True,0,24,24,0,24,0,0,0,0,0,0
Job_121_Aug,23,23,3.13,True,0,23,23,0,23,0,0,0,0,0,0
Job_123,30,30,11.81,True,0,30,30,0,30,0,0,0,0,0,0
Job_123_Aug,30,30,7.85,True,0,30,30,0,30,0,0,0,0,0,0
Job_125,37,37,8.66,True,0,37,37,0,37,0,0,0,0,0,0
Job_125_Aug,37,37,8.45,True,0,37,37,0,37,0,0,0,0,0,0
Job_126,16,16,4.34,True,0,16,16,0,16,0,0,0,0,0,0
Job_126_Aug,16,16,2.25,True,0,16,16,0,16,0,0,0,0,0,0
Job_128,54,54,8.79,True,0,54,54,0,54,0,0,0,0,0,0
Job_130,27,27,5.16,True,0,27,27,0,27,0,0,0,0,0,0
Job_130_Aug,27,27,4.16,True,0,27,27,0,27,0,0,0,0,0,0
Job_131,22,22,4.03,True,0,22,22,0,22,0,0,0,0,0,0
Job_142,22,22,2.37,True,0,22,22,0,0,0,0,0,0,0,0
Job_143,14,14,4.81,True,0,14,14,0,14,0,0,0,0,0,0
Job_143_Aug,13,13,2.84,True,0,13,13,0,13,0,0,0,0,0,0
Job_145,21,21,8.07,True,1,10,21,0,21,0,0,0,0,0,0
Job_145_Aug,51,51,11.21,True,3,18,51,0,51,0,0,0,0,0,0
