Subfolder,Total Pairs,Train Moved,Test Moved,Val Moved
Job_7,179,3991,179,0
Job_11,149,3991,328,0
Job_12,77,3991,405,0
Job_13,49,3991,454,0
Job_14,8,3991,462,0
Job_15,16,3991,478,0
Job_16,8,3991,486,0
Job_21,101,3991,587,0
Job_17,12,3991,599,0
Job_18,7,3991,606,0
Job_24,66,3991,672,0
Job_24_filter,89,3991,761,0
Job_25,75,3991,836,0
Job_27,32,3991,868,0
Job_28,68,3991,936,0
Job_29,80,3991,1016,0
Job_30,49,3991,1065,0
Job_31,74,3991,1139,0
Job_32,84,3991,1223,0
Job_36,64,3991,1287,0
Job_37,50,3991,1308,29
Job_41,70,3991,1308,99
Job_43,37,3991,1308,136
Job_48,34,3991,1308,170
Job_50,25,3991,1308,195
Job_55,18,3991,1308,213
Job_56,34,3991,1308,247
Job_57,59,3991,1308,306
Job_59,40,3991,1308,346
Job_60,54,3991,1308,400
Job_61,76,3991,1308,476
Job_65,147,3991,1308,623
Job_66,24,3991,1308,647
Job_67,21,3991,1308,668
Job_69,39,3991,1308,707
Job_70,44,3991,1308,751
Job_71,83,3991,1308,834
Job_72,73,3991,1308,907
Job_73,44,3991,1308,951
Job_74,29,3991,1308,980
Job_75,29,3991,1308,1009
Job_76,40,3991,1308,1049
Job_77,40,3991,1308,1089
Job_78,40,3991,1308,1129
Job_87,53,3991,1308,1182
Job_89,38,3991,1308,1220
Job_95,35,3991,1308,1255
Job_96,90,4028,1308,1308
Job_98,36,4064,1308,1308
Job_104,108,4172,1308,1308
Job_105,41,4213,1308,1308
Job_106,30,4243,1308,1308
Job_108,5,4248,1308,1308
Job_109,27,4275,1308,1308
Job_114,96,4371,1308,1308
Job_115,51,4422,1308,1308
Job_116,30,4452,1308,1308
Job_117,49,4501,1308,1308
Job_118,26,4527,1308,1308
Job_119,45,4572,1308,1308
Job_120,58,4630,1308,1308
Job_121,24,4654,1308,1308
Job_123,30,4684,1308,1308
Job_125,37,4721,1308,1308
Job_126,16,4737,1308,1308
Job_128,54,4791,1308,1308
Job_130,27,4818,1308,1308
Job_131,22,4840,1308,1308
Job_142,22,4862,1308,1308
Job_143,14,4876,1308,1308
Job_147,22,4898,1308,1308
Job_156,55,4953,1308,1308
Job_157,167,5120,1308,1308
Job_158,20,5140,1308,1308
Job_159,17,5157,1308,1308
Job_22,101,5258,1308,1308
Job_88,36,5294,1308,1308
Job_42,54,5348,1308,1308
Job_65_ILLUM,147,5495,1308,1308
Job_37_ILLUM,50,5545,1308,1308
Job_54_ILLUM,42,5587,1308,1308
Job_55_ILLUM,18,5605,1308,1308
Job_56_ILLUM,35,5640,1308,1308
Job_57_ILLUM,59,5699,1308,1308
Job_60_ILLUM,54,5753,1308,1308
Job_61_ILLUM,76,5829,1308,1308
Job_54,6,5835,1308,1308
Job_23,159,5994,1308,1308
Job_145,21,6015,1308,1308
Job_146,12,6027,1308,1308
Job_160,12,6039,1308,1308
Job_151,6,6045,1308,1308
Job_155,59,6104,1308,1308
