Subfolder,Total Pairs,Train Moved,Test Moved,Val Moved
Job_29,240,193,21,26
Job_32,250,203,21,26
Job_41,280,233,21,26
Job_56,69,22,21,26
Job_60,162,115,21,26
Job_65,147,100,21,26
Job_72,146,99,21,26
Job_73,88,41,21,26
Job_89,149,102,21,26
Job_95,70,23,21,26
Job_106,120,73,21,26
Job_108,10,0,10,0
Job_109,27,0,21,6
Job_114,96,49,21,26
Job_115,63,16,21,26
Job_123,60,13,21,26
Job_125,96,49,21,26
Job_126,32,0,21,11
Job_128,107,60,21,26
Job_130,111,64,21,26
Job_131,22,0,21,1
Job_142,22,0,21,1
Job_143,27,0,21,6
Job_147,22,0,21,1
Job_155,61,14,21,26
Job_156,54,7,21,26
Job_157,169,122,21,26
Job_158,20,0,20,0
Job_11,350,303,21,26
Job_22,601,554,21,26
Job_21,301,254,21,26
Job_7,363,316,21,26
Job_116,59,12,21,26
Job_14,15,0,15,0
Job_12,458,411,21,26
Job_15,32,0,21,11
Job_13,97,50,21,26
Job_16,15,0,15,0
Job_17,24,0,21,3
Job_18,14,0,14,0
Job_42,107,60,21,26
Job_37,99,52,21,26
Job_50,49,2,21,26
Job_48,136,89,21,26
Job_55,36,0,20,16
Job_57,118,71,20,27
Job_59,80,34,20,26
Job_54,185,139,20,26
Job_61,228,182,20,26
Job_66,24,0,20,4
Job_67,21,0,20,1
Job_69,42,0,20,22
Job_70,87,41,20,26
Job_76,79,33,20,26
Job_121,94,48,20,26
Job_119,89,43,20,26
Job_118,104,58,20,26
Job_105,161,115,20,26
Job_104,216,170,20,26
Job_96,90,44,20,26
Job_36,191,145,20,26
Job_120,58,12,20,26
Job_117,98,52,20,26
Job_98,36,0,20,16
Job_87,210,164,20,26
Job_78,159,113,20,26
Job_77,80,34,20,26
Job_75,58,12,20,26
Job_74,58,12,20,26
Job_71,1656,1610,20,26
Job_23,220,174,20,26
Job_23_filter,255,209,20,26
Job_24_filter,177,131,20,26
Job_24,131,85,20,26
Job_25,150,104,20,26
Job_27,63,17,20,26
Job_28,203,157,20,26
Job_43,148,102,20,26
Job_31,221,175,20,26
Job_30,148,102,20,26
Job_88,142,96,20,26
Job_145,21,0,20,1
Job_151,4,0,4,0
Job_160,12,0,12,0
Job_159,17,0,17,0
Job_146,7,0,7,0
_Job_160_Exclude_OCR_Augmented_and_Merged_Selected,30,0,20,10
Job_51p,178,132,20,26
Job_52p,190,144,20,26
Job_166,24,0,20,4
Job_166_newt,24,0,20,4
Job_166_r,24,0,20,4
