Subfolder,Total Pairs,Processed Pairs,Discrepancy,Train Pairs,Test Pairs,Val Pairs
Job_7,179,179,No,125,27,27
Job_11,149,149,No,104,22,23
Job_12,77,77,No,54,12,11
Job_13,49,49,No,34,7,8
Job_14,8,8,No,6,1,1
Job_15,16,16,No,11,2,3
Job_16,8,8,No,6,1,1
Job_21,101,101,No,71,15,15
Job_17,12,12,No,8,2,2
Job_18,7,7,No,5,1,1
Job_24,66,66,No,46,10,10
Job_24_filter,89,89,No,62,13,14
Job_25,75,75,No,52,11,12
Job_27,32,32,No,22,5,5
Job_28,68,68,No,48,10,10
Job_29,80,80,No,56,12,12
Job_30,49,49,No,34,7,8
Job_31,74,74,No,52,11,11
Job_32,84,84,No,59,13,12
Job_36,64,64,No,45,10,9
Job_37,50,50,No,35,8,7
Job_41,70,70,No,49,10,11
Job_43,37,37,No,26,6,5
Job_48,34,34,No,24,5,5
Job_50,25,25,No,18,4,3
Job_55,18,18,No,13,3,2
Job_56,35,35,No,24,5,6
Job_57,59,59,No,41,9,9
Job_59,40,40,No,28,6,6
Job_60,54,54,No,38,8,8
Job_61,76,76,No,53,11,12
Job_65,147,147,No,103,22,22
Job_66,24,24,No,17,4,3
Job_67,21,21,No,15,3,3
Job_69,39,39,No,27,6,6
Job_70,44,44,No,31,7,6
Job_71,83,83,No,58,12,13
Job_72,73,73,No,51,11,11
Job_73,44,44,No,31,7,6
Job_74,29,29,No,20,4,5
Job_75,29,29,No,20,4,5
Job_76,40,40,No,28,6,6
Job_77,40,40,No,28,6,6
Job_78,40,40,No,28,6,6
Job_87,53,53,No,37,8,8
Job_89,38,38,No,27,6,5
Job_95,35,35,No,24,5,6
Job_96,90,90,No,63,14,13
Job_98,36,36,No,25,5,6
Job_104,108,108,No,76,16,16
Job_105,41,41,No,29,6,6
Job_106,30,30,No,21,4,5
Job_108,5,5,No,4,1,0
Job_109,27,27,No,19,4,4
Job_114,96,96,No,67,14,15
Job_115,51,51,No,36,8,7
Job_116,30,30,No,21,4,5
Job_117,49,49,No,34,7,8
Job_118,26,26,No,18,4,4
Job_119,45,45,No,31,7,7
Job_120,58,58,No,41,9,8
Job_121,24,24,No,17,4,3
Job_123,30,30,No,21,4,5
Job_125,37,37,No,26,6,5
Job_126,16,16,No,11,2,3
Job_128,54,54,No,38,8,8
Job_130,27,27,No,19,4,4
Job_131,22,22,No,15,3,4
Job_142,22,22,No,15,3,4
Job_143,14,14,No,10,2,2
Job_147,22,22,No,15,3,4
Job_156,55,55,No,38,8,9
Job_157,167,167,No,117,25,25
Job_158,20,20,No,14,3,3
Job_159,17,17,No,12,3,2
Job_22,101,101,No,71,15,15
Job_88,36,36,No,25,5,6
Job_42,54,54,No,38,8,8
Job_65_ILLUM,147,147,No,103,22,22
Job_37_ILLUM,50,50,No,35,8,7
Job_54_ILLUM,42,42,No,29,6,7
Job_55_ILLUM,18,18,No,13,3,2
Job_56_ILLUM,35,35,No,24,5,6
Job_57_ILLUM,59,59,No,41,9,9
Job_60_ILLUM,54,54,No,38,8,8
Job_61_ILLUM,76,76,No,53,11,12
Job_54,6,6,No,4,1,1
Job_23,159,159,No,111,24,24
Job_145,21,21,No,15,3,3
Job_146,12,12,No,8,2,2
Job_160,12,12,No,8,2,2
Job_151,6,6,No,4,1,1
Job_155,59,59,No,41,9,9
train,0,0,No,0,0,0
test,0,0,No,0,0,0
val,0,0,No,0,0,0
TOTAL,4730,4730,-,3308,707,715
