Job,Initial Count,Final Count,Class ID,Threshold
Job_57,132,118,1,0.8
Job_59,87,80,1,0.8
Job_54,780,185,1,0.8
Job_61,550,335,0,0.8
Job_61,550,228,0,0.8
Job_66,277,5,0,0.8
Job_66,277,95,0,0.8
Job_66,277,24,0,0.8
Job_67,86,1,0,0.8
Job_67,86,1,0,0.8
Job_67,86,7,2,0.8
Job_67,86,9,2,0.8
Job_67,86,9,2,0.8
Job_67,86,11,2,0.8
Job_67,86,12,2,0.8
Job_67,86,21,2,0.8
Job_69,289,143,2,0.8
Job_69,289,42,2,0.8
Job_70,151,151,1,0.8
Job_70,151,151,1,0.8
Job_70,151,49,1,0.8
Job_70,151,111,1,0.8
Job_70,151,87,1,0.8
Job_70,151,87,1,0.8
Job_76,540,206,1,0.8
Job_76,540,79,1,0.8
Job_87,1128,963,2,0.8
